society_id,society_name,region,lat,lon,focal_year,EA031_code,EA031_label,comment,references
Ci4,Cherkess,,44,42,1920,NA,Missing data,,
Ci5,Turks,,38,30,1950,8,50000+,,hanson1955; lerner1958; makal1954; pierce1964; stirling1953; stirling1963; stirling1965; yasa1957
Ci6,Ossetians,,43,44,1880,NA,Missing data,,
Ci7,Chechen,,43,46,1900,NA,Missing data,,
Ci8,Georgians,,42,45,1850,8,50000+,,abasadse1894; allen1932; haxthausen1854
Ci9,Svan,,43,43,1910,NA,Missing data,,
Cj1,Syrians,,36,36,1950,8,50000+,,sweet1960
Cj10,Madan,,31,47,1950,7,5000-50000,,salim1962; thesiger1964
Cj2,Rwala,,33,37,1920,NA,Missing data,,
Cj3,Hebrews,,32,35,-800,7,5000-50000,,balyn1957; bright1959; dalman1932; devaux1961; forbes1964; holybiblend; noth1966; patai1961
Cj4,Babylonians,,32,45,-2000,8,50000+,,contenau1954; delaporte1925; driverandmiles195255; gadd1965; saggs1962; saggs1965; thompson1923
Cj5,Mutair,,28,47,1930,NA,Missing data,,
Cj6,Jordanians,,32,36,1950,8,50000+,,granqvist193135; harris1958
Cj7,Lebanese,,34,36,1950,8,50000+,,davies1949; gulick1953; gulick1955; gulick1956; patai1956; prothro1961; tannous1949; touma1958
Cj8,Druze,,32.77,35.03,1930,5,400-1000,,kasdan1961; kasdan1965
Cj9,Yemeni,,15,45,1950,NA,Missing data,,
Ea1,Sindhi,,25,68,1950,8,50000+,,bordiend; wilber1964
Ea10,Marri,,30,69,1950,1,<50,,pehrson1966
Ea11,Ghilzai,,33,68,1950,NA,Missing data,,
Ea12,Qashqui,,30,52,1940,5,400-1000,,garrod1946a; garrod1946b
Ea13,Punjabi,,32,73,1950,8,50000+,,callardandwheeler1963; dass1954; eglar1957; eglar1960; honigmann1957; honigmann1958; kennedy1957; palmer1961; symonds1950; wilbur1964
Ea2,Yusufzai,,35,72,1950,5,400-1000,,barth1956a; barth1959; honigmann1953
Ea3,Hazara,,35,66,1930,3,100-199,,bacon1958; hudsonandbeacon1941; schurmann1962; wilber1956
Ea4,Kohistani,,35,73,1950,NA,Missing data,,
Ea5,Nuristani,,36,71,1890,5,400-1000,,robertson1896; wilber1956
Ea6,Basseri,,30,34,1958,5,400-1000,,barth1961; barth1964
Ea7,Moghol,,34,63,1950,3,100-199,,schurmann1962
Ea8,Bakhtiari,,33,48,1920,NA,Missing data,,
Ea9,Iranians,,36,52,1950,8,50000+,,vreeland1957
Eb1,Kazakh,,48,70,1910,2,50-99,,castagn1930; grodekov1889; hudson1938; murdock1934b:135-162; radloff1893; sedelnikov1903
Eb2,Tu,,39,100,1920,NA,Missing data,,
Eb3,Khalka,,46,97,1940,1,<50,,ballis1956; friters1949; maiskii1921; rupen1956; vreeland1954
Eb4,Dagur,,49,125,1940,NA,Missing data,,
Eb5,Turkmen,,38,62,1910,NA,Missing data,,
Eb6,Buryat,,52,107,1900,NA,Missing data,,
Eb7,Chahar,,41,115,1930,3,100-199,,krader1954b; vreeland1954
Eb8,Uzbek,,43,60,1800,NA,Missing data,,
Ec1,Nivkh,,53,142,1920,2,50-99,,chard1961; hawes1903; ivanovetal1964; schrenck1881; seeland1882; shternberg1933a
Ec10,Ob Ostyak,,62,74,1880,NA,Missing data,,
Ec11,Selkup,,59,90,1900,NA,Missing data,,
Ec2,Yakut,,65,125,1900,2,50-99,,chodzidlo1951; gayton1948b; jochelson1933; priklonskii1953; sumner1901
Ec3,Chukchi,,66,177,1900,1,<50,,bogoras1901a; bogoras1901b; krenova1936; orlovshii1928; sverdrup1938
Ec4,Yurak-Samoyeds,,68,75,1900,1,<50,,castren1853; donner1954; englehardt1899; hajdu1963; islavin1847; jackson1895a; jackson1895b; kopytoff1955; rae1875
Ec5,Koryak,,61.99,164.24,1900,3,100-199,,bergman1927; czaplieka1914; jochelson190508
Ec6,Yukaghir,,70,145,1850,1,<50,,jochelson191926
Ec7,Ainu,,44,144,1900,1,<50,,batchelor1895; batchelor1927; cornell1964; hilger1971; munro1962; murdock1934j; sugiuraandbefu1962; sutherland1948; watanabe1964b
Ec8,Ket,,62,90,1900,2,50-99,,shimkin1939
Ec9,Nanai,,47,132,1920,NA,Missing data,,
Ed1,Koreans,,38.134147,126.960754,1950,8,50000+,,dallet1874; hewesandkim1952; heydrich1931; kang1931; osgood1951; rutt1964
Ed10,Shantung,,37,118,1930,8,50000+,,yang1945
Ed13,Ishigakians,,24.46,124.14,1940,NA,Missing data,,
Ed14,Man,,22,105,NA,NA,Missing data,,
Ed15a,Miyakans,,24.79,125.32,1950,NA,Missing data,,
Ed15b,Chekiang,,31,120,1936,8,50000+,,chien1967; fei1946; fried1953; lang1946; linebargeretal1956; smith1970
Ed16,Cantonese,,23,113,1940,NA,Missing data,,
Ed2,Lolo,,29,103,1940,3,100-199,,dollone1912; lebaretal1964:19-27; lin1961; litard1913; pollard1921; tseng1945
Ed3,Manchu,,45,126,1920,NA,Missing data,,
Ed4,Miao,,26,107,1940,3,100-199,,mark1967; ruey1960
Ed5,Japanese,,35,136,1950,8,50000+,,beardsleyetal1959; brownnd; buckandmasland1950:591-710; devos1965; devosandwagatsuma1967; norbeck1954; smithandcornell1956
Ed6,Min Chinese,,24,115,1920,8,50000+,,kulp1925
Ed7,Okinawans,,26.16,127.8,1950,8,50000+,,glacken1955; maetzkiandmaetzki1963; maretzki1957; pittsetal1955
Ed8,Minchia,,26,100,1930,5,400-1000,,fitzgerald1941
Ed9,Li,,19,109,1930,3,100-199,,lebaretal1964; odaka1950; strubel1937
Ee1,Adi,,28,95,1940,3,100-199,,duffsutherlanddunbar1915; roy1960
Ee2,Burusho,,37,75,1930,4,200-399,,clark1963; lorimer1935; lorimer1938; lorimer1939; rodale1948; tobe1960
Ee3,Lepcha,,28,89,1930,3,100-199,,dasandbanerjee1962; gorer1938; morris1938
Ee4,Central Tibetans,,30,91,1920,7,5000-50000,,bell1924; bell1928; benedict1942; cammann1951; carrasco1959; das1902; ekvall1961; ekvall1964; kawaguchi1909; ma1947; macdonald1929; psybikov1919; rockhill1895; shenandliu1953; waddell1939
Ee5,Shina,,35,73,1870,5,400-1000,,biddulph1880; leitner1873
Ee6,Sherpa,,28,87,1950,4,200-399,,furerhaimendorf1964
Ee7,Kachari,,27,90,1840,NA,Missing data,,
Ee8,Magar,,28,84,1950,NA,Missing data,,
Ef1,Santal,,24,87,1940,NA,Missing data,,
Ef10,Bihari,,25,86,1880,NA,Missing data,,
Ef11,Uttar Pradesh,,26,83,1945,8,50000+,,cohn1958; cohnnd; dube1956; luschinsky1963; luschinsky1971; opler1956; oplerandsingh1952; oplerandsingh1954; pandey1972; rowe1960
Ef2,Bengali,,23,88,1940,8,50000+,,karve1953; mukherjee1949; nicholas1962; nicholas1964; sarma1951
Ef3,Indo-Iranian,,30,75,-800,NA,Missing data,,
Ef4,Ho,,22,85,1920,NA,Missing data,,
Ef5,Bhil,,22,74,1900,2,50-99,,boseandray1953; hendley1875; koppers1948; naik1956
Ef6,Kurukh,,23,85,1940,NA,Missing data,,
Ef7,Pahari,,30,78,1950,8,50000+,,berreman1962a; berreman1962b; berreman1963
Ef8,Kashmiri,,34,75,1950,8,50000+,,crane1955; lawrence1895; madan1965
Ef9,Gujarati,,20,77,1136,8,50000+,,karve194243; mukhtyar1930
Eg1,Chenchu,,16,79,1940,1,<50,,furerhaimendorf1943b
Eg10,Telugu,,18,79,1950,8,50000+,,dube1955; guha1931; karve1953
Eg11,Koya,,19,78,1960,NA,Missing data,,
Eg12,Khond,,18,82,1940,NA,Missing data,,
Eg13,Muria Gond,,20,81,1941,NA,Missing data,,
Eg14,Reddi,,18,82,1940,2,50-99,,furerhaimendorf1945
Eg2,Tamil,,11,79,1880,8,50000+,,goughaberle1955; goughaberlend
Eg3,Madia,,19,81,1938,2,50-99,,grigson1938
Eg4,Toda,,12,77,1900,1,<50,,emeneau1941; fox1963; marshall1873; murdock1934b:107-154; peter1955; rivers1906
Eg5,Kodavas,,12,76,1930,3,100-199,,emeneau1939; srinivas1952
Eg6,Kerala,,11,76,1799,8,50000+,,gough1961; schneiderandgough1961:385-442
Eg7,Hill Bhuiya,,21,85,1930,2,50-99,,roy1935
Eg8,Kol,,22,85,1940,NA,Missing data,,
Eg9,Baiga,,22,81,1930,2,50-99,,elwin1939
Eh1,Andamanese,,12,93,1870,1,<50,,man1882; radcliffebrown1922
