society_id,society_name,region,lat,lon,focal_year,EA030_code,EA030_label,comment,references
Aa1,!Kung,,-20,21,1950,1,Nomadic,,biesele1972; biesele1975; biesele1976; draper1972; draper1975; drapernd; hansenetal1969; harpending1971; howell1979; howellnd; konner1971; konner1972; konner1973; konner1977; lee1966; lee1968; lee1972a; lee1974; lee1979; leeanddevore1976; marshall1956; marshall1957; marshall1957a; marshall1957b; marshall1958; marshall1959; marshall1960; marshall1961; marshall1962; marshall1965; marshall1976; marshallandmarshall1956; schapera1930; shostak1981; thomas1959; tobias1978
Aa2,Dorobo,,0,36,1920,1,Nomadic,,huntingford1929; huntingford1942; huntingford1951; huntingford1953b; huntingford1954; huntingford1955a
Aa3,Nama,,-26,18,1840,1,Nomadic,,hoernl1918; hoernl1925; kohler1970; murdock1934b:475-507; schapera1930; schultze1907
Aa4,Bergdama,,-22,16,1920,NA,Missing data,,
Aa5,Mbuti,,2,28,1930,1,Nomadic,,deleeuwe1966; hart1978; putnam1948; turnbull1961; turnbull1965a; turnbull1965b; turnbull1965c; turnbull1983
Aa6,Sandawe,,-5,36,1920,5,Dispersed homesteads,,dempwolff1916; huntingford1953b; kimmenade1936
Aa7,Naron,,-20,24,1910,1,Nomadic,,bleek1924b; bleek1928; passarge1907; schapera1930
Aa8,/Xam,,-30,23,1850,1,Nomadic,,barrow180104; bleek1924b; fritsch1872
Aa9,Hadza,,-3,35,1910,1,Nomadic,,bleek1931b; kohllarsen1958; woodburn1964; woodburn1968a; woodburn1968b; woodburn1970
Ab1,Herero,,-21,16,1900,1,Nomadic,,irle1906; vedder1928
Ab10,Pondo Xhosa,,-31,30,1936,5,Dispersed homesteads,,hunter1936
Ab11,Xhosa Ngqika,,-32.89,27.91,1850,5,Dispersed homesteads,,borwnlee1927; kropf1889; soga1932
Ab12,Zulu,,-29,31,1830,5,Dispersed homesteads,,bryant1949; gluckman1940; gluckman1950; krige1936; mahloboandkrige1934; schapera1937; vilakazi1962
Ab13,Tswana,,-24,27,1880,8,Complex permanent,,brown1926; dorman1935; duggancronin1929; livingstone1858; schapera1938; schapera1941; schapera1950; schapera1953; schpera1941
Ab14,Lovedu,,-24,31,1930,6,Hamlets,,krigeandkrige1943
Ab15,Pedi,,-25,30,1860,7,Villages/towns,"Not clearly specified, perhaps 'dispersed homesteads' (code ""5"")",duggancronin1931; franz1931; harries1939; harris1929; pitje1950; vanwarmelo1931; winter1914
Ab16,Lenge,,-25,34,1930,6,Hamlets,,earthy1933
Ab17,Ndau,,-20,34,1920,NA,Missing data,,
Ab18,Shona,,-19,31,1920,6,Hamlets,,bullock1928; holleman1952; kuper1955; prost1956; seed193233
Ab19,Ambo,,-17,16,1910,5,Dispersed homesteads,,krafft1914; lebzelter1935; loeb1962; tonejes1911
Ab2,Swazi,,-27,32,1880,6,Hamlets,,kuper1950; kuper1974; marwick1940
Ab20,Ngumbi,,-15,15,1880,NA,Missing data,,
Ab21a,Kisama,,-10,14,1930,5,Dispersed homesteads,,magyar1859; mattenklodt1944
Ab21b,Bomvana,,-32.17,28.93,1925,NA,Missing data,,
Ab22,Chopi,,-24.76,34.47,1920,NA,Missing data,,
Ab3,Lozi,,-15,23,1890,3,Semisedentary,,bertrand1899; gluckman1941; gluckman1950; gluckman1951; gluckman1972; holub1895; mainga1973; turner1952
Ab4,Tsonga,,-24,32,1920,7,Villages/towns,,junod1927
Ab5,Mbundu,,-12,16,1930,7,Villages/towns,,childs1949; duffy1959; edwards1962; hambly1934; mcculloch1952
Ab6,Venda,,-23,30,1900,7,Villages/towns,,gottschling1905; stayt1931; warmelo1948; wessmann1908
Ab7,Nyaneka,,-15,14,1920,6,Hamlets,,langandtastevin1937
Ab8,Sotho,,-29,28,1860,6,Hamlets,,ashton1952; casilis1859; dutton1923; krige1937; mabille1906; martin1903; sheddick1953
Ab9,Ndebele,,-20,28,1870,8,Complex permanent,,hughesandvanvelsen1955; jackson192627; thomas1872
Ac1,Ila,,-16,27,1920,3,Semisedentary,,smithanddale1920; tudennd
Ac10,Chewa,,-14,33,1920,7,Villages/towns,"But 'dispersed homesteads' (code ""5"") today",bruwer1949; bruwer1955; hodgson1933; marwick1952; ntara1934; read1938; richards1950; tew1950
Ac11,Luvale,,-12,22,1930,7,Villages/towns,,mcculloch1951; white1955
Ac12,Chokwe,,-10,21,1920,7,Villages/towns,,baumann1935; jaspertandjaspert1930; mcculloch1951; tordayandjoyce1922
Ac13,Tonga,,-12,34,1950,6,Hamlets,,tew1950; velsen1964
Ac14,Bakongo,,-7,15,1900,7,Villages/towns,,brown1944; bruyns1951; czekanowski1924:21-110; ihle1929; kapstein1922; mertens1942; vanwing1921; weeks1914
Ac15,Mbala,,-5,18,1900,NA,Missing data,,
Ac16,Mitsogho,,-1,12,1940,7,Villages/towns,,balandier1952; maclatchy1945
Ac17,Suku,,-6,18,1910,7,Villages/towns,,holemans1959; kopytoff1961; kopytoff1964; kopytoff1965; kopytoff1971; kopytoff1977; tordayandjoyce1906; vandeginste1947
Ac18,Sundi,,-5,14,1910,7,Villages/towns,,even1931; hutereau1910b; laman1953; soret1959
Ac19,Teke,,-3,15,1880,7,Villages/towns,,badier1929; descazes1885; guiral1886; trezenem1940
Ac2,Pende,,-6,20,1920,7,Villages/towns,,sousberghe1955; tordayandjoyce1922:corrigenda-to-table-1
Ac20,Yaka,,-7,17,1920,5,Dispersed homesteads,,milheiros1956; plancquaert1932; tordayandjoyce1906
Ac21,Bunda,,-5,19,1910,5,Dispersed homesteads,,decker1942; torday1910; weekx1937
Ac22,Dzing,,-4,20,1930,4,Impermanent,,mertens1935
Ac23,Lele,,-5,21,1950,7,Villages/towns,,douglas1952; douglas1962; douglas1963; tew1951; vansina1954b
Ac24,Sakata,,-3,18,1910,7,Villages/towns,,baeyens1913; denis1935; maes1924; viaeneandbernard190910
Ac25,Songo,,-5,18,1930,7,Villages/towns,,beaucorps1921; beaucorps1951; richards1950
Ac26,Yanzi,,-4,18,1920,6,Hamlets,,beaucorps1933; tordayandjoyce1922
Ac27,Luchazi,,-13,23,1930,4,Impermanent,,baumann1935; mcculloch1951
Ac28,Luimbe,,-12,18,1930,7,Villages/towns,,baumann1935; mcculloch1951
Ac29,Luwa,,-7,19,1930,NA,Missing data,,
Ac3,Bemba,,-11,31,1900,4,Impermanent,,delhaise1908; gouldsburyandsheane1911; richards1939; richards1940a; richards1940b; richards1948; richards1950; richards1951; richards1956; richards1968; richards1971; richardsandtardits1974; tardits1974
Ac30,Plateau Tonga,,-18,28,1940,6,Hamlets,,allanetal1948; colson1950; colson1951; colson1960; jaspan1953
Ac31,Buye,,-7,28,1910,7,Villages/towns,,colle1913
Ac32,Kaonde,,-13,26,1920,7,Villages/towns,,melland1923; watson1954a
Ac33,Lala,,-15,31,1940,7,Villages/towns,,lambo1946; munday1941; whiteley1951
Ac34,Luapula,,-10,29,1940,7,Villages/towns,,cunnison1950; cunnison1959; gamitto1854; slaski1951
Ac35,Shila,,-10,28,1900,NA,Missing data,,
Ac36,Tumbuka,,-12,34,1920,7,Villages/towns,,sanderson1923; tew1950; young1931
Ac37,Kunda,,-15,32,1950,7,Villages/towns,,bruwer1958
Ac38,Nyanja,,-16,36,1910,5,Dispersed homesteads,,malekebu1952; stannus1910; tew1950; werner1906b
Ac39,Nyasa,,-13,35,1920,NA,Missing data,,
Ac4,Kuba,,-5,22,1910,4,Impermanent,,tordayandjoyce1910; vansina1954a; vansina1962
Ac40,Sena,,-18,35,1900,7,Villages/towns,,maugham1910; menteirolopez1906; schebesta1926
Ac41,Makonde,,-11,40,1900,6,Hamlets,,behr1893; weule1908
Ac42,Makua,,-15,39,1900,NA,Missing data,,
Ac43,Mambwe,,9,32,1910,7,Villages/towns,,watson1954b; willis1966
Ac5,Lamba,,-13,28,1920,7,Villages/towns,,doke1931; mitchellandbarnes1950
Ac6,Ndembu,,-11,26,1930,4,Impermanent,,baumann1935; chook1967; mcculloch1951; turner1957; turner1966
Ac7,Yao,,-13,36,1920,6,Hamlets,,lawson1949; mitchell1949; mitchell1956; sanderson1920; stannus1922
Ac8,Yombe,,-5,13,1930,7,Villages/towns,,decleene1937a; decleene1937b; deleval1912; vanoverbergh1907b; vanreeth1935
Ac9,Ngoni,,-12,33,1940,7,Villages/towns,,barnes1951; barnes1954; mead1960; tew1950
Ad1,Bajuni,,-2,41,1950,7,Villages/towns,,grottanelli1955
Ad10,Shambaa,,-5,38,1910,7,Villages/towns,,eichhorn191124; lang1903; warburg1894; winans1962; wohlrab1918
Ad11,Bena,,-9,36,1930,7,Villages/towns,,culwickandculwick1935
Ad12,Gusii,,-1,35,1940,5,Dispersed homesteads,,levine1959; mayer1949; mayer1950; mayer1953; mayer1965
Ad13,Kiga,,-3,30,1930,5,Dispersed homesteads,,edel1937; edel1957; taylor1962
Ad14,Luguru,,-8,38,1930,6,Hamlets,,beidelman1967; brain1969; christensen1963; mcvicarnd; mluanda1971; scheerderandtastevin1950; youngandfosbrooke1960
Ad15,Iwa,,-10,32,1900,7,Villages/towns,,chisholm1910; coxhead1914; willis1966; wilson1958
Ad16,Ngonde,,-10,34,1920,7,Villages/towns,,mackenzie1925; sanderson1923; tew1950
Ad17,Safwa,,-8,33,1920,7,Villages/towns,,kootzkretschmer192629
Ad18,Bende,,-7,31,1910,7,Villages/towns,,avon191516; majerus191516
Ad19,Fipa,,-8,31,1910,7,Villages/towns,,fromm1912; popplewell1937; willis1966
Ad2,Nyoro,,2,32,1950,5,Dispersed homesteads,,beattie1960; beattie1965; richards1960b; roscoe1923a; taylor1962
